classify_model/cariver,classify_model/flpalmbeach,classify_model/flsaintlucie,classify_model/codenver4all,classify_model/fl7all,classify_model/castate,classify_model/mistate,classify_model/njstate,classify_model/ohstate,classify_model/pastate,classify_model/instate,classify_model/mdstate,classify_model/txstate,classify_model/ncstate,classify_model/orstate,classify_model/set1,classify_model/set2,classify_model/set3,classify_model/set4,classify_model/set5
,,,,,,,,,,,,tx mcculloch,,,nv churchill,ny wayne,al covington,ks hamilton,wi douglas
,,,,,,,,,,,,tx mcmullen,,,nv clark,ny westchester,al crenshaw,ks harper,wi dunn
,,,,,,,,,,,,tx medina,,,nv douglas,ny wyoming,al cullman,ks harvey,wi eau claire
,,,,,,,,,,,,tx menard,,,nv elko,ny yates,al dale,ks haskell,wi florence
,,,,,,,,,,,,tx midland,,,nv esmeralda,,al dallas,ks hodgeman,wi fond du lac
,,,,,,,,,,,,tx milam,,,nv eureka,,al de kalb,ks jackson,wi forest
,,,,,,,,,,,,tx mills,,,nv humboldt,,al elmore,ks jefferson,wi grant
,,,,,,,,,,,,tx mitchell,,,nv lander,,al escambia,ks jewell,wi green
,,,,,,,,,,,,tx montague,,,nv lincoln,,al etowah,ks johnson,wi green lake
,,,,,,,,,,,,tx montgomery,,,nv lyon,,al fayette,ks kearny,wi iowa
,,,,,,,,,,,,tx moore,,,nv mineral,,al franklin,ks kingman,wi iron
,,,,,,,,,,,,tx morris,,,nv nye,,al geneva,ks kiowa,wi jackson
,,,,,,,,,,,,tx motley,,,nv pershing,,al greene,ks labette,wi jefferson
,,,,,,,,,,,,tx nacogdoches,,,nv storey,,al hale,ks lane,wi juneau
,,,,,,,,,,,,tx navarro,,,nv washoe,,al henry,ks leavenworth,wi kenosha
,,,,,,,,,,,,tx newton,,,nv white pine,,al houston,ks lincoln,wi kewaunee
,,,,,,,,,,,,tx nolan,,,mn aitkin,,al jackson,ks linn,wi la crosse
,,,,,,,,,,,,tx nueces,,,mn anoka,,al jefferson,ks logan,wi lafayette
,,,,,,,,,,,,tx ochiltree,,,mn becker,,al lamar,ks lyon,wi langlade
,,,,,,,,,,,,tx oldham,,,mn beltrami,,al lauderdale,ks marion,wi lincoln
,,,,,,,,,,,,tx orange,,,mn benton,,al lawrence,ks marshall,wi manitowoc
,,,,,,,,,,,,tx palo pinto,,,mn big stone,,al lee,ks mcpherson,wi marathon
,,,,,,,,,,,,tx panola,,,mn blue earth,,al limestone,ks meade,wi marinette
,,,,,,,,,,,,tx parker,,,mn brown,,al lowndes,ks miami,wi marquette
,,,,,,,,,,,,tx parmer,,,mn carlton,,al macon,ks mitchell,wi menominee
,,,,,,,,,,,,tx pecos,,,mn carver,,al madison,ks montgomery,wi milwaukee
,,,,,,,,,,,,tx polk,,,mn cass,,al marengo,ks morris,wi monroe
,,,,,,,,,,,,tx potter,,,mn chippewa,,al marion,ks morton,wi oconto
,,,,,,,,,,,,tx presidio,,,mn chisago,,al marshall,ks nemaha,wi oneida
,,,,,,,,,,,,tx rains,,,mn clay,,al mobile,ks neosho,wi outagamie
,,,,,,,,,,,,tx randall,,,mn clearwater,,al monroe,ks ness,wi ozaukee
,,,,,,,,,,,,tx reagan,,,mn cook,,al montgomery,ks norton,wi pepin
,,,,,,,,,,,,tx real,,,mn cottonwood,,al morgan,ks osage,wi pierce
